CASE#,DATE OF OCCURRENCE,BLOCK, IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG388314,08/17/2023 08:37:00 PM,042XX N KEDVALE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,N,N,1722,39,14,1148085,1927881,41.958055236,-87.730980432,"(41.958055236, -87.730980432)"
JG386392,08/17/2023 01:35:00 PM,050XX S ASHLAND AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,N,N,931,20,26,1166524,1871398,41.802685798,-87.664809681,"(41.802685798, -87.664809681)"
JG387333,08/18/2023 12:00:00 AM,042XX W GLADYS AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,1132,28,07,1148234,1898018,41.87610542,-87.731203465,"(41.87610542, -87.731203465)"
JG406231,09/01/2023 01:45:00 AM,048XX N ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2032,47,08B,1164784,1932275,41.969774042,-87.669463818,"(41.969774042, -87.669463818)"
JG414173,08/29/2023 12:00:00 PM,032XX N ELSTON AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,STREET,N,N,1733,33,11,1156593,1921529,41.940456571,-87.699874463,"(41.940456571, -87.699874463)"
JG386582,08/17/2023 02:29:00 PM,014XX E 79TH ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SCHOOL - PRIVATE GROUNDS,N,Y,411,8,04A,1186991,1852891,41.751439685,-87.590335369,"(41.751439685, -87.590335369)"
JG386651,08/17/2023 04:18:00 PM,037XX W CHICAGO AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,VACANT LOT / LAND,Y,N,1112,27,18,1151453,1905084,41.895432691,-87.719198656,"(41.895432691, -87.719198656)"
JG386202,08/17/2023 10:30:00 AM,064XX N SHERIDAN RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2432,49,06,1167108,1942847,41.998734156,-87.660613118,"(41.998734156, -87.660613118)"
JG386715,08/17/2023 04:45:00 PM,072XX W FITCH AVE,4255,KIDNAPPING,UNLAWFUL VISITATION INTERFERENCE,RESIDENCE,N,Y,1611,41,26,1127069,1946958,42.010783805,-87.807813798,"(42.010783805, -87.807813798)"
JG386179,08/17/2023 10:50:00 AM,022XX W MAYPOLE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,1223,27,14,1161251,1900967,41.883937205,-87.683327432,"(41.883937205, -87.683327432)"
