CASE#,DATE OF OCCURRENCE,BLOCK, IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JH182581,03/09/2024 11:58:00 AM,004XX W BARRY AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1934,44,06,1172737,1920656,41.937718335,-87.64056599,"(41.937718335, -87.64056599)"
JG365882,08/01/2023 08:00:00 PM,005XX W 127TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,523,9,14,1175148,1820332,41.662365549,-87.634701939,"(41.662365549, -87.634701939)"
JG366585,07/29/2023 08:17:00 PM,011XX S DELANO CT E,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,123,34,06,1175165,1895362,41.868256175,-87.632402287,"(41.868256175, -87.632402287)"
JG225431,04/16/2023 06:09:00 AM,001XX W HURON ST,0820,THEFT,$500 AND UNDER,HOTEL / MOTEL,N,Y,1832,2,06,1175253,1905045,41.894824927,-87.631788635,"(41.894824927, -87.631788635)"
JG375080,08/06/2023 06:30:00 PM,028XX N NATOMA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,2511,36,14,1131599,1918099,41.931514327,-87.791817006,"(41.931514327, -87.791817006)"
JG359076,07/27/2023 03:00:00 PM,052XX S HARPER AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,234,4,06,1187167,1870879,41.800796093,-87.589119981,"(41.800796093, -87.589119981)"
JG373427,08/07/2023 04:01:00 PM,062XX S DREXEL AVE,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,APARTMENT,Y,N,313,20,18,1183080,1863781,41.781414696,-87.604328907,"(41.781414696, -87.604328907)"
JG358176,07/27/2023 01:00:00 PM,072XX S PHILLIPS AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,Y,334,7,04A,1193747,1857423,41.763713079,-87.565430089,"(41.763713079, -87.565430089)"
JH181268,03/09/2024 10:19:00 AM,106XX S DR MARTIN LUTHER KING JR DR,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,Y,N,512,9,15,1180793,1834596,41.701380597,-87.613608366,"(41.701380597, -87.613608366)"
JG369366,08/04/2023 03:51:00 PM,039XX S LA SALLE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,213,3,04A,1176051,1879069,41.823527068,-87.629639751,"(41.823527068, -87.629639751)"
JH182015,03/09/2024 11:35:00 PM,003XX N PINE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,N,N,1523,37,15,1139435,1901870,41.886840651,-87.763416845,"(41.886840651, -87.763416845)"
JH134543,01/31/2024 02:50:00 AM,061XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,712,16,08B,1171683,1864287,41.783060766,-87.646097864,"(41.783060766, -87.646097864)"
JG377233,08/09/2023 07:45:00 PM,044XX S TRIPP AVE,0810,THEFT,OVER $500,WAREHOUSE,N,N,815,14,06,1148736,1874869,41.812571868,-87.729957419,"(41.812571868, -87.729957419)"
JG380977,08/12/2023 03:00:00 PM,044XX W WRIGHTWOOD AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,GOVERNMENT BUILDING / PROPERTY,N,N,2524,31,14,1146303,1917151,41.928645369,-87.737805821,"(41.928645369, -87.737805821)"
JG372352,08/07/2023 12:30:00 AM,002XX W ONTARIO ST,031A,ROBBERY,ARMED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1831,42,03,1174494,1904440,41.89318177,-87.6345943,"(41.89318177, -87.6345943)"
JH183637,03/09/2024 11:00:00 PM,005XX E 62ND ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,N,Y,313,20,08B,1180806,1864016,41.782112159,-87.612658602,"(41.782112159, -87.612658602)"
JH183410,03/09/2024 08:00:00 AM,048XX N WINTHROP AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2033,46,06,1167994,1932485,41.970281428,-87.657654526,"(41.970281428, -87.657654526)"
JH181524,03/09/2024 03:00:00 PM,082XX S DREXEL AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,Y,631,8,04A,1183675,1850319,41.744459783,-87.602566814,"(41.744459783, -87.602566814)"
JG369616,08/04/2023 12:00:00 PM,004XX N WABASH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1834,42,11,1176592,1902931,41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
JG382179,08/13/2023 06:30:00 AM,071XX S BELL AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,832,18,06,1162637,1857376,41.764289643,-87.679456133,"(41.764289643, -87.679456133)"
JG372409,08/06/2023 10:00:00 PM,053XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,225,3,07,1178067,1869510,41.797250787,-87.622533896,"(41.797250787, -87.622533896)"
JH181671,03/09/2024 05:09:00 PM,054XX N CLARK ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA BUS,N,N,2013,48,08B,1165070,1936066,41.980170593,-87.668303976,"(41.980170593, -87.668303976)"
JH181920,03/09/2024 07:45:00 PM,051XX W MONTANA ST,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,Y,N,2521,31,26,1141712,1915819,41.925076485,-87.754709444,"(41.925076485, -87.754709444)"
JG359796,07/28/2023 04:00:00 PM,065XX S WESTERN AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESTAURANT,Y,N,832,16,15,1161496,1861276,41.775015522,-87.683530209,"(41.775015522, -87.683530209)"
JG386308,05/26/2023 12:00:00 AM,025XX W IOWA ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1211,36,11,1159149,1905902,41.897522709,-87.690910519,"(41.897522709, -87.690910519)"
JH181454,03/09/2024 12:30:00 PM,074XX S COLFAX AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,334,7,08A,1194646,1856163,41.760233476,-87.562176527,"(41.760233476, -87.562176527)"
JH189075,02/24/2024 12:00:00 AM,033XX S PARNELL AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,N,N,915,11,17,1173176,1882706,41.833571452,-87.64007934,"(41.833571452, -87.64007934)"
JH181599,03/09/2024 02:30:00 PM,014XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,Y,Y,1021,24,08B,1153271,1892823,41.861751313,-87.712847101,"(41.861751313, -87.712847101)"
JG377497,08/10/2023 03:30:00 PM,012XX W VICTORIA ST,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,2013,48,06,1167140,1938551,41.986945147,-87.660619547,"(41.986945147, -87.660619547)"
JG380058,08/12/2023 03:25:00 PM,004XX E 50TH ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,Y,N,223,20,08B,1180175,1871968,41.803947663,-87.614728298,"(41.803947663, -87.614728298)"
JH181173,03/09/2024 08:58:00 AM,078XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,612,17,08B,1171005,1852824,41.75161972,-87.648918043,"(41.75161972, -87.648918043)"
JH183590,03/09/2024 04:50:00 PM,095XX S HALSTED ST,0890,THEFT,FROM BUILDING,LIBRARY,N,N,2223,21,06,1172656,1841600,41.720783347,-87.643197739,"(41.720783347, -87.643197739)"
JH181518,03/09/2024 02:47:00 PM,002XX W 105TH PL,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,512,21,04B,1176519,1834981,41.702534042,-87.629246741,"(41.702534042, -87.629246741)"
JH181017,03/09/2024 02:30:00 AM,011XX S CLINTON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,124,28,14,1172884,1895546,41.868811887,-87.640770775,"(41.868811887, -87.640770775)"
JH181707,03/09/2024 04:52:00 PM,077XX S CONSTANCE AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,ALLEY,N,N,414,8,15,1189877,1854106,41.754704876,-87.579720736,"(41.754704876, -87.579720736)"
JH182941,03/10/2024 12:00:00 AM,029XX W LEXINGTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,1135,28,07,1156834,1896560,41.871934623,-87.69966662,"(41.871934623, -87.69966662)"
JH187758,03/08/2024 03:00:00 PM,001XX N CENTRAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1523,37,14,1139023,1900551,41.883228644,-87.764961923,"(41.883228644, -87.764961923)"
JH182612,03/09/2024 09:00:00 PM,047XX W MC LEAN AVE,0810,THEFT,OVER $500,STREET,N,N,2522,26,06,1144555,1913211,41.917866751,-87.744328653,"(41.917866751, -87.744328653)"
JH188887,03/06/2024 06:50:00 PM,001XX N LA SALLE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,122,42,11,1175114,1900975,41.883659738,-87.632421239,"(41.883659738, -87.632421239)"
JH189263,02/21/2024 12:00:00 PM,069XX S OGLESBY AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,331,5,08B,1192969,1859330,41.768965054,-87.568219399,"(41.768965054, -87.568219399)"
JH181946,03/09/2024 09:05:00 PM,0000X N LEAVITT ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,1223,27,24,1161739,1900414,41.882409568,-87.68155087,"(41.882409568, -87.68155087)"
JH181300,03/09/2024 10:00:00 AM,023XX N LAMON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2522,31,08B,1143348,1915054,41.922946796,-87.748717118,"(41.922946796, -87.748717118)"
JH183473,03/09/2024 07:00:00 PM,100XX S LA SALLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,511,9,14,1177043,1838373,41.711830392,-87.627226154,"(41.711830392, -87.627226154)"
JH181007,03/09/2024 02:25:00 AM,008XX N MICHIGAN AVE,0560,ASSAULT,SIMPLE,STREET,N,N,1833,42,08A,1177332,1906449,41.898630668,-87.624110505,"(41.898630668, -87.624110505)"
JH181383,03/09/2024 12:18:00 PM,075XX N WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),Y,Y,2411,50,08B,1159016,1949895,42.018244679,-87.690186314,"(42.018244679, -87.690186314)"
JH181708,03/09/2024 05:21:00 PM,069XX S VINCENNES AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,RESIDENCE,N,N,731,6,04B,1176982,1858801,41.767888734,-87.626835373,"(41.767888734, -87.626835373)"
JH181067,03/09/2024 04:45:00 AM,002XX W 72ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,731,6,08B,1176014,1857230,41.763599495,-87.630430571,"(41.763599495, -87.630430571)"
JH181511,03/09/2024 10:00:00 AM,038XX W GLADYS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1133,28,14,1150764,1898079,41.876223731,-87.721912515,"(41.876223731, -87.721912515)"
JH181295,03/09/2024 09:16:00 AM,046XX S DAMEN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,N,N,924,12,11,1163737,1873840,41.809445968,-87.67496226,"(41.809445968, -87.67496226)"
JH182938,03/09/2024 02:00:00 PM,001XX N WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,122,42,14,1174701,1901579,41.885326396,-87.633919718,"(41.885326396, -87.633919718)"
JH181527,03/09/2024 03:00:00 PM,051XX W LAWRENCE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,HIGHWAY / EXPRESSWAY,Y,N,1623,45,15,1141405,1931434,41.967931195,-87.755450677,"(41.967931195, -87.755450677)"
JH181890,03/09/2024 08:23:00 PM,101XX S PERRY AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,ALLEY,N,Y,511,9,04A,1177386,1837826,41.710321624,-87.62598646,"(41.710321624, -87.62598646)"
JH181699,03/09/2024 07:20:00 PM,093XX S WESTERN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2221,19,06,1162011,1842650,41.723892277,-87.682159034,"(41.723892277, -87.682159034)"
JH181261,03/09/2024 08:45:00 AM,062XX S INDIANA AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,311,20,04B,1178641,1863677,41.781231428,-87.620606304,"(41.781231428, -87.620606304)"
JH181019,03/09/2024 02:55:00 AM,002XX W ERIE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,N,N,1831,42,03,1174469,1904732,41.893983593,-87.634677382,"(41.893983593, -87.634677382)"
JH188132,03/09/2024 02:08:00 PM,065XX S KENWOOD AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,321,20,06,1186196,1861806,41.775922068,-87.592967436,"(41.775922068, -87.592967436)"
JH181566,03/09/2024 11:59:00 AM,077XX N EASTLAKE TER,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,2422,49,26,1165756,1951165,42.021587926,-87.665347927,"(42.021587926, -87.665347927)"
JH181654,03/09/2024 04:30:00 PM,115XX S CHURCH ST,0810,THEFT,OVER $500,ALLEY,N,N,2212,19,06,1165656,1828286,41.684398648,-87.669213272,"(41.684398648, -87.669213272)"
JH182752,03/09/2024 08:30:00 PM,069XX N CAMPBELL AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,2411,40,07,1158401,1946145,42.007967225,-87.692552702,"(42.007967225, -87.692552702)"
JH189828,02/10/2024 12:01:00 AM,040XX S ALBANY AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,921,12,11,,,,,
JH181618,03/09/2024 02:20:00 PM,043XX S ELLIS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,222,4,07,1183649,1876541,41.81641591,-87.601844755,"(41.81641591, -87.601844755)"
JH182714,03/09/2024 02:00:00 PM,052XX N LAMON AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1621,39,06,1142685,1934521,41.976378381,-87.750666958,"(41.976378381, -87.750666958)"
JH181412,03/09/2024 12:38:00 PM,079XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,624,8,08B,1183607,1852629,41.750800252,-87.602744104,"(41.750800252, -87.602744104)"
JH182018,03/09/2024 11:20:00 PM,012XX W RANDOLPH ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,N,N,1224,27,08B,1168423,1901173,41.884350397,-87.656985264,"(41.884350397, -87.656985264)"
JH182557,03/09/2024 03:00:00 PM,005XX W WELLINGTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1934,44,07,1172191,1920223,41.936542256,-87.642585446,"(41.936542256, -87.642585446)"
JH181128,03/09/2024 07:35:00 AM,001XX N STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,111,34,08B,1176352,1900918,41.883475491,-87.627876969,"(41.883475491, -87.627876969)"
JH181085,03/09/2024 06:15:00 AM,070XX S COTTAGE GROVE AVE,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,POLICE FACILITY / VEHICLE PARKING LOT,N,N,321,6,04B,1182773,1858454,41.76680404,-87.605619683,"(41.76680404, -87.605619683)"
JH181763,03/09/2024 11:00:00 AM,063XX N LINCOLN AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,N,N,1711,50,08B,1151916,1941741,41.996013151,-87.716529328,"(41.996013151, -87.716529328)"
JH188767,02/09/2024 11:05:00 AM,055XX N KENMORE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,2023,48,06,1168247,1937028,41.982742067,-87.656592266,"(41.982742067, -87.656592266)"
JH181205,03/09/2024 06:00:00 AM,036XX W HURON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1112,27,07,1152124,1904429,41.893622099,-87.716751506,"(41.893622099, -87.716751506)"
JH181814,03/09/2024 01:00:00 AM,009XX W RANDOLPH ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1224,27,06,1170285,1901151,41.884249554,-87.650148454,"(41.884249554, -87.650148454)"
JH181025,03/09/2024 03:03:00 AM,027XX W GRAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,1221,36,14,1157942,1904542,41.893815465,-87.695380835,"(41.893815465, -87.695380835)"
JH183140,03/09/2024 11:00:00 AM,028XX S KEDZIE AVE,0810,THEFT,OVER $500,VACANT LOT / LAND,N,N,1032,22,06,1155493,1884878,41.839904967,-87.70490391,"(41.839904967, -87.70490391)"
JH181228,03/09/2024 09:37:00 AM,034XX N HARDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1732,30,08B,1149451,1922614,41.943575722,-87.726095685,"(41.943575722, -87.726095685)"
JH182493,03/09/2024 04:00:00 PM,101XX S BENSLEY AVE,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,431,7,06,1194487,1838321,41.711277394,-87.563344279,"(41.711277394, -87.563344279)"
JH181536,03/09/2024 02:43:00 PM,033XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,STREET,N,N,1731,30,08B,1148301,1922412,41.943043695,-87.730327794,"(41.943043695, -87.730327794)"
JH181850,03/09/2024 07:18:00 PM,005XX N RIDGEWAY AVE,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,Y,N,1122,27,26,1151292,1903299,41.89053763,-87.71983685,"(41.89053763, -87.71983685)"
JH180984,03/09/2024 01:24:00 AM,021XX W DIVISION ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,BAR OR TAVERN,N,N,1212,1,11,1161945,1907967,41.903131319,-87.68058344,"(41.903131319, -87.68058344)"
JH183196,03/09/2024 07:00:00 PM,049XX N SPRINGFIELD AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1712,39,06,1149500,1932360,41.970318519,-87.725661568,"(41.970318519, -87.725661568)"
JH181434,03/09/2024 12:30:00 PM,012XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,Y,N,1233,28,06,1165916,1894587,41.866331725,-87.666379171,"(41.866331725, -87.666379171)"
JH182382,03/09/2024 10:51:00 AM,035XX W 13TH PL,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,1021,24,06,1152911,1893675,41.86409643,-87.714146052,"(41.86409643, -87.714146052)"
JH181709,03/09/2024 12:30:00 PM,049XX S WABASH AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,224,3,06,1177552,1872227,41.804718158,-87.624340271,"(41.804718158, -87.624340271)"
JH188541,03/01/2024 08:30:00 AM,042XX W WEST END AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,1114,28,08A,1148096,1900636,41.883292167,-87.731642768,"(41.883292167, -87.731642768)"
JH183151,03/09/2024 08:20:00 AM,026XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1935,43,06,1171818,1918166,41.930906002,-87.644017035,"(41.930906002, -87.644017035)"
JH181741,03/09/2024 05:45:00 PM,052XX N LINCOLN AVE,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2011,40,08A,1158540,1934608,41.97630638,-87.692358999,"(41.97630638, -87.692358999)"
JH189833,02/16/2024 05:00:00 PM,023XX E 70TH PL,0820,THEFT,$500 AND UNDER,STREET,N,N,331,5,06,,,,,
JH181284,03/09/2024 07:00:00 AM,061XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,311,20,07,1177772,1864257,41.782842728,-87.623774676,"(41.782842728, -87.623774676)"
JH181634,03/09/2024 04:07:00 PM,028XX W FLOURNOY ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,Y,N,1135,28,15,1157575,1896907,41.872871783,-87.696936649,"(41.872871783, -87.696936649)"
JH181556,03/09/2024 03:16:00 PM,043XX N LINCOLN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1911,47,06,1161021,1928960,41.960756702,-87.683392921,"(41.960756702, -87.683392921)"
JH137234,02/01/2024 07:00:00 PM,066XX S KENWOOD AVE,0330,ROBBERY,AGGRAVATED,STREET,N,N,321,20,03,1186207,1861334,41.7746266,-87.592942008,"(41.7746266, -87.592942008)"
JH169683,02/14/2024 12:00:00 AM,079XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,624,8,08B,1184272,1852481,41.750378603,-87.600311872,"(41.750378603, -87.600311872)"
JH181913,03/09/2024 08:43:00 PM,001XX W OAK ST,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1832,2,08A,1174734,1907126,41.900546929,-87.633632427,"(41.900546929, -87.633632427)"
JH182749,03/09/2024 04:59:00 PM,067XX S DORCHESTER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,321,5,06,1186701,1860601,41.7726035,-87.591154298,"(41.7726035, -87.591154298)"
JH181746,03/09/2024 02:00:00 PM,049XX S VINCENNES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,223,20,14,1180406,1872378,41.805067435,-87.613868524,"(41.805067435, -87.613868524)"
JH188495,03/05/2024 12:50:00 PM,071XX S CALUMET AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,323,6,06,1179716,1857696,41.764794435,-87.616847834,"(41.764794435, -87.616847834)"
JH189085,01/21/2024 01:00:00 PM,033XX S MICHIGAN AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,NURSING / RETIREMENT HOME,N,N,211,3,02,1177742,1882956,41.834155131,-87.623318288,"(41.834155131, -87.623318288)"
JH188942,06/18/2023 12:00:00 PM,064XX N SHERIDAN RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,2432,49,11,1167121,1942715,41.998371665,-87.660569111,"(41.998371665, -87.660569111)"
JH180997,03/09/2024 02:22:00 AM,122XX S SANGAMON ST,0810,THEFT,OVER $500,STREET,N,N,524,21,06,1172211,1823609,41.671423021,-87.645354025,"(41.671423021, -87.645354025)"
JH181673,03/09/2024 04:00:00 PM,042XX N SACRAMENTO AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1724,33,11,1155619,1928116,41.95855143,-87.703276289,"(41.95855143, -87.703276289)"
JH181984,03/09/2024 09:59:00 PM,086XX S COTTAGE GROVE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,632,6,06,1183071,1847869,41.737750767,-87.604855911,"(41.737750767, -87.604855911)"
JH183463,03/09/2024 03:30:00 PM,004XX E 112TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,531,9,26,1181125,1830790,41.690928794,-87.612509332,"(41.690928794, -87.612509332)"
JH181015,03/09/2024 03:01:00 AM,024XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SIDEWALK,Y,N,1414,35,08B,1155871,1916316,41.926166325,-87.702669008,"(41.926166325, -87.702669008)"
JH183291,03/09/2024 12:20:00 PM,004XX E 109TH ST,0810,THEFT,OVER $500,APARTMENT,N,N,513,9,06,1180967,1832775,41.696379535,-87.613027006,"(41.696379535, -87.613027006)"
JH157970,02/19/2024 02:14:00 PM,034XX N NARRAGANSETT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,Y,Y,1632,38,14,1133083,1922351,41.943156446,-87.786263743,"(41.943156446, -87.786263743)"
JH188365,03/01/2024 04:13:00 PM,026XX W Ainslie st,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,2031,40,06,1157971,1932581,41.970755854,-87.694507031,"(41.970755854, -87.694507031)"
JH182475,03/09/2024 11:18:00 PM,079XX S SANGAMON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,621,17,07,1171354,1852185,41.749858595,-87.647657786,"(41.749858595, -87.647657786)"
JH181486,03/09/2024 09:00:00 AM,012XX N LARRABEE ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,1822,27,06,1172111,1908362,41.903996883,-87.643230238,"(41.903996883, -87.643230238)"
JH181752,03/09/2024 05:04:00 PM,011XX S CANAL ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,124,28,06,1173303,1895451,41.868541914,-87.639235361,"(41.868541914, -87.639235361)"
JH181424,03/09/2024 12:45:00 PM,027XX N CICERO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2521,31,15,1143911,1917998,41.931014873,-87.746574418,"(41.931014873, -87.746574418)"
JH181308,03/09/2024 11:00:00 AM,0000X W IDA B WELLS DR,0880,THEFT,PURSE-SNATCHING,GAS STATION,N,Y,113,34,06,1176041,1898055,41.875626261,-87.629105237,"(41.875626261, -87.629105237)"
JH181064,03/09/2024 03:00:00 AM,074XX S BENNETT AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,324,8,05,1189994,1856044,41.760020102,-87.579229717,"(41.760020102, -87.579229717)"
JH181455,03/09/2024 12:56:00 PM,128XX S UNION AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,523,9,07,1173989,1819903,41.661214003,-87.63895589,"(41.661214003, -87.63895589)"
JH182558,03/09/2024 06:00:00 PM,027XX S KOLIN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1031,22,07,1147836,1885364,41.841388915,-87.732989664,"(41.841388915, -87.732989664)"
JH182851,03/09/2024 08:00:00 PM,003XX S SEELEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1225,27,07,1162787,1898470,41.87705316,-87.677757131,"(41.87705316, -87.677757131)"
JH190105,02/16/2024 12:01:00 AM,131XX S ELLIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,533,10,11,,,,,
JH188617,10/31/2023 02:00:00 PM,071XX S DOBSON AVE,0810,THEFT,OVER $500,APARTMENT,N,N,324,5,06,1184455,1857945,41.76536808,-87.599470482,"(41.76536808, -87.599470482)"
JH181759,03/09/2024 06:17:00 PM,059XX W NORTH AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,N,N,2531,29,26,1136300,1910021,41.909264584,-87.774734698,"(41.909264584, -87.774734698)"
