Año,Fecha,Festivo,Día
1998,23 de marzo,Día de San José,Lunes
1998,9 de abril,Jueves Santo,Jueves
1998,10 de abril,Viernes Santo,Viernes
1998,1 de mayo,Día del trabajo,Viernes
1998,25 de mayo,Ascensión de Jesús,Lunes
1998,15 de junio,Corpus Christi,Lunes
1998,22 de junio,Sagrado Corazón de Jesús,Lunes
1998,29 de junio,San Pedro y San Pablo,Lunes
1998,20 de julio,Día de la independencia,Lunes
1998,7 de agosto,Batalla de Boyacá,Viernes
1998,17 de agosto,Asunción de la Virgen,Lunes
1998,12 de octubre,Día de la raza,Lunes
1998,2 de noviembre,Todos los Santos,Lunes
1998,16 de noviembre,Independencia de Cartagena,Lunes
1998,8 de diciembre,Inmaculada Concepción,Martes
1998,25 de diciembre,Navidad,Viernes
1999,1 de enero,Año Nuevo,Viernes
1999,11 de enero,Epifanía,Lunes
1999,22 de marzo,Día de San José,Lunes
1999,1 de abril,Jueves Santo,Jueves
1999,2 de abril,Viernes Santo,Viernes
1999,1 de mayo,Día del trabajo,Sábado
1999,17 de mayo,Ascensión de Jesús,Lunes
1999,7 de junio,Corpus Christi,Lunes
1999,14 de junio,Sagrado Corazón de Jesús,Lunes
1999,5 de julio,San Pedro y San Pablo,Lunes
1999,20 de julio,Día de la independencia,Martes
1999,7 de agosto,Batalla de Boyacá,Sábado
1999,16 de agosto,Asunción de la Virgen,Lunes
1999,18 de octubre,Día de la raza,Lunes
1999,1 de noviembre,Todos los Santos,Lunes
1999,15 de noviembre,Independencia de Cartagena,Lunes
1999,8 de diciembre,Inmaculada Concepción,Miércoles
1999,25 de diciembre,Navidad,Sábado
2000,1 de enero,Año Nuevo,Sábado
2000,10 de enero,Epifanía,Lunes
2000,20 de marzo,Día de San José,Lunes
2000,20 de abril,Jueves Santo,Jueves
2000,21 de abril,Viernes Santo,Viernes
2000,1 de mayo,Día del trabajo,Lunes
2000,5 de junio,Ascensión de Jesús,Lunes
2000,26 de junio,Corpus Christi,Lunes
2000,3 de julio,Sagrado Corazón de Jesús,Lunes
2000,3 de julio,San Pedro y San Pablo,Lunes
2000,20 de julio,Día de la independencia,Jueves
2000,7 de agosto,Batalla de Boyacá,Lunes
2000,21 de agosto,Asunción de la Virgen,Lunes
2000,16 de octubre,Día de la raza,Lunes
2000,6 de noviembre,Todos los Santos,Lunes
2000,13 de noviembre,Independencia de Cartagena,Lunes
2000,8 de diciembre,Inmaculada Concepción,Viernes
2000,25 de diciembre,Navidad,Lunes
2001,1 de enero,Año Nuevo,Lunes
2001,8 de enero,Epifanía,Lunes
2001,19 de marzo,Día de San José,Lunes
2001,12 de abril,Jueves Santo,Jueves
2001,13 de abril,Viernes Santo,Viernes
2001,1 de mayo,Día del trabajo,Martes
2001,28 de mayo,Ascensión de Jesús,Lunes
2001,18 de junio,Corpus Christi,Lunes
2001,25 de junio,Sagrado Corazón de Jesús,Lunes
2001,2 de julio,San Pedro y San Pablo,Lunes
2001,20 de julio,Día de la independencia,Viernes
2001,7 de agosto,Batalla de Boyacá,Martes
2001,20 de agosto,Asunción de la Virgen,Lunes
2001,15 de octubre,Día de la raza,Lunes
2001,5 de noviembre,Todos los Santos,Lunes
2001,12 de noviembre,Independencia de Cartagena,Lunes
2001,8 de diciembre,Inmaculada Concepción,Sábado
2001,25 de diciembre,Navidad,Martes
2002,1 de enero,Año Nuevo,Martes
2002,7 de enero,Epifanía,Lunes
2002,25 de marzo,Día de San José,Lunes
2002,28 de marzo,Jueves Santo,Jueves
2002,29 de marzo,Viernes Santo,Viernes
2002,1 de mayo,Día del trabajo,Miércoles
2002,13 de mayo,Ascensión de Jesús,Lunes
2002,3 de junio,Corpus Christi,Lunes
2002,10 de junio,Sagrado Corazón de Jesús,Lunes
2002,1 de julio,San Pedro y San Pablo,Lunes
2002,20 de julio,Día de la independencia,Sábado
2002,7 de agosto,Batalla de Boyacá,Miércoles
2002,19 de agosto,Asunción de la Virgen,Lunes
2002,14 de octubre,Día de la raza,Lunes
2002,4 de noviembre,Todos los Santos,Lunes
2002,11 de noviembre,Independencia de Cartagena,Lunes
2002,8 de diciembre,Inmaculada Concepción,Domingo
2002,25 de diciembre,Navidad,Miércoles
2003,1 de enero,Año Nuevo,Miércoles
2003,6 de enero,Epifanía,Lunes
2003,24 de marzo,Día de San José,Lunes
2003,17 de abril,Jueves Santo,Jueves
2003,18 de abril,Viernes Santo,Viernes
2003,1 de mayo,Día del trabajo,Jueves
2003,2 de junio,Ascensión de Jesús,Lunes
2003,23 de junio,Corpus Christi,Lunes
2003,30 de junio,Sagrado Corazón de Jesús,Lunes
2003,30 de junio,San Pedro y San Pablo,Lunes
2003,20 de julio,Día de la independencia,Domingo
2003,7 de agosto,Batalla de Boyacá,Jueves
2003,18 de agosto,Asunción de la Virgen,Lunes
2003,13 de octubre,Día de la raza,Lunes
2003,3 de noviembre,Todos los Santos,Lunes
2003,17 de noviembre,Independencia de Cartagena,Lunes
2003,8 de diciembre,Inmaculada Concepción,Lunes
2003,25 de diciembre,Navidad,Jueves
2004,1 de enero,Año Nuevo,Jueves
2004,12 de enero,Epifanía,Lunes
2004,22 de marzo,Día de San José,Lunes
2004,8 de abril,Jueves Santo,Jueves
2004,9 de abril,Viernes Santo,Viernes
2004,1 de mayo,Día del trabajo,Sábado
2004,24 de mayo,Ascensión de Jesús,Lunes
2004,14 de junio,Corpus Christi,Lunes
2004,21 de junio,Sagrado Corazón de Jesús,Lunes
2004,5 de julio,San Pedro y San Pablo,Lunes
2004,20 de julio,Día de la independencia,Martes
2004,7 de agosto,Batalla de Boyacá,Sábado
2004,16 de agosto,Asunción de la Virgen,Lunes
2004,18 de octubre,Día de la raza,Lunes
2004,1 de noviembre,Todos los Santos,Lunes
2004,15 de noviembre,Independencia de Cartagena,Lunes
2004,8 de diciembre,Inmaculada Concepción,Miércoles
2004,25 de diciembre,Navidad,Sábado
2005,1 de enero,Año Nuevo,Sábado
2005,10 de enero,Epifanía,Lunes
2005,21 de marzo,Día de San José,Lunes
2005,24 de marzo,Jueves Santo,Jueves
2005,25 de marzo,Viernes Santo,Viernes
2005,1 de mayo,Día del trabajo,Domingo
2005,9 de mayo,Ascensión de Jesús,Lunes
2005,30 de mayo,Corpus Christi,Lunes
2005,6 de junio,Sagrado Corazón de Jesús,Lunes
2005,4 de julio,San Pedro y San Pablo,Lunes
2005,20 de julio,Día de la independencia,Miércoles
2005,7 de agosto,Batalla de Boyacá,Domingo
2005,15 de agosto,Asunción de la Virgen,Lunes
2005,17 de octubre,Día de la raza,Lunes
2005,7 de noviembre,Todos los Santos,Lunes
2005,14 de noviembre,Independencia de Cartagena,Lunes
2005,8 de diciembre,Inmaculada Concepción,Jueves
2005,25 de diciembre,Navidad,Domingo
2006,1 de enero,Año Nuevo,Domingo
2006,9 de enero,Epifanía,Lunes
2006,20 de marzo,Día de San José,Lunes
2006,13 de abril,Jueves Santo,Jueves
2006,14 de abril,Viernes Santo,Viernes
2006,1 de mayo,Día del trabajo,Lunes
2006,29 de mayo,Ascensión de Jesús,Lunes
2006,19 de junio,Corpus Christi,Lunes
